Course Number,Course Title,Course Description,Credits
ACCT1201,Financial Accounting and Reporting,,
ACCT1990,Elective,,
ACCT2301,Profit Analysis for Managers and Advisors,,
ACCT2990,Elective,,
ACCT3401,Financial Reporting and Analysis 1,,
ACCT3990,Elective,,
AFAM2270,REMOVED,,
AFAM3990,Elective,,
AFRS1270,REMOVED,,
AFRS1990,Elective,,
AFRS2990,Elective,,
AFRS3460,REMOVED,,
AFRS3990,Elective,,
ANTH1101,Peoples and Cultures,,
ANTH1990,Elective,,
ANTH2300,REMOVED,,
ANTH2302,Gender and Sexuality: A Cross-Cultural Perspective,,
ANTH2305,Global Markets and Local Culture,,
ANTH2312,REMOVED,,
ANTH2365,REMOVED,,
ANTH2990,Elective,,
ANTH3418,Wired/Unwired: Cybercultures and Technopolitics,,
ANTH3421,Foundations of Anthropological Theory,,
ANTH3990,Elective,,
ANTH4350,Ethnography of Southeast Asia,,
ANTH4500,Latin American Society and Development,,
ANTH4515,REMOVED,,
ANTH4580,Special Topics in Anthropology,,
ANTH4990,Elective,,
ANTH4993,REMOVED,,
ARAB1101,Elementary Arabic 1,,
ARAB1990,Elective,,
ARAB2990,Elective,,
ARCH1110,Fundamental Architectural Representation,,
ARCH1990,Elective,,
ARCH2240,Architectonic Systems,,
ARCH2260,Introduction to Building Systems,,
ARCH2990,Elective,,
ARCH3155,REMOVED,,
ARCH3370,Advanced Topics in Architectural History,,
ARCH4850,Urban and Architectural History Abroad,,
ARTD2350,REMOVED,,
ARTD2380,Video Basics,,
ARTD2381,Video Tools,,
ARTD2990,Elective,,
ARTD3460,Photography: Concept + Process,,
ARTD3470,Animation 1,,
ARTD4565,Photography: Visual Strategies + Context,,
ARTD4660,Studio Photography,,
ARTD4661,Photography: Experimental Processes,,
ARTE2501,Art and Design Abroad: History,,
ARTF1124,Form and Structure,,
ARTF1990,Elective,,
ARTF2220,Movement and Time,,
ARTG2260,Programming Basics,,
ARTH1110,Global Art and Design History: Ancient to Medieval,,
ARTH1111,Global Art and Design History: Renaissance to Modern,,
ARTH1990,Elective,,
ARTH2210,Modern Art and Design History,,
ARTH2211,Contemporary Art and Design History,,
ARTH2213,REMOVED,,
ARTH2990,Elective,,
ARTS1990,Elective,,
ARTS2330,REMOVED,,
ARTS2340,Painting Basics,,
ARTS2341,Figure Drawing,,
ARTS2380/ARTD2381,Video Tools,,
ARTS2990,Elective,,
ARTS3990,Elective,,
ASNS1150,East Asian Studies,,
ASNS1990,Elective,,
ASNS2990,Elective,,
ASNS3422,REMOVED,,
ASNS3444,REMOVED,,
BIOE4990,Elective,,
BIOE5235,Biomedical Imaging,,
BIOE5420,Cellular Engineering,,
BIOE5430,Principles and Applications of Tissue Engineering,,
BIOE5810,Design of Biomedical Instrumentation,,
BIOE5820,Biomaterials,,
BIOL1111,General Biology 1,,
BIOL1113,General Biology 2,,
BIOL1114,Lab for BIOL 1113,,
BIOL1115,REMOVED,,
BIOL1116,REMOVED,,
BIOL1147,The Human Organism,,
BIOL1990,Elective,,
BIOL2221/BIOL2222,Foundations of Microbiology,,
BIOL2301/BIOL2302,Genetics and Molecular Biology,,
BIOL2309,Biology Project Lab,,
BIOL2321/BIOL2322,REMOVED,,
BIOL2990,Elective,,
BIOL2991,REMOVED,,
BIOL3403,REMOVED,,
BIOL3405,Neurobiology,,
BIOL3415,Current Topics in Behavioral Neuroscience,,
BIOL3421,Microbiology,,
BIOL3605,Developmental Neurobiology,,
BIOL3609,REMOVED,,
BIOL3611,Cultural History of Spain,,
BIOL3611/BIOL3612,Biochemistry,,
BIOL3612,Lab for BIOL 3611,,
BIOL3990,Elective,,
BIOL4705,Neurobiology of Cognitive Decline,,
BIOL4707,Cell and Molecular Biology,,
BIOL4990,Elective,,
BIOL4991,Research,,
BIOL5573,Medical Microbiology,,
BIOL5583,Immunology,,
BIOL5595,Cell and Molecular Neuroscience,,
BUSN1101,Applied Business Fundamentals,,
BUSN1990,Elective,,
BUSN2990,Elective,,
BUSN3990,Elective,,
CAEP3480,Counseling Theories and Practice,,
CHEM1109,REMOVED,,
CHEM1151,General Chemistry for Engineers,,
CHEM1161/CHEM1162,General Chemistry for Science Majors,,
CHEM1211/CHEM1212,General Chemistry 1,,
CHEM1214/CHEM1215,,,
CHEM1990,Elective,,
CHEM2990,Elective,,
CHEM3403,Quantum Chemistry and Spectroscopy,,
CHEM3431 & CHEM3432,Physical Chemistry,,
CHEM3990,Elective,,
CHEM4456,Organic Chemistry 3: Organic Chemistry of Drug Design and Development,,
CHEM4621/CHEM4622,REMOVED,,
CHME2308,Conservation Principles in Chemical Engineering,,
CHME3312,Transport Processes 2,,
CHME3990,Elective,,
CHME4510,Chemical Engineering Kinetics,,
CHME4512,Chemical Engineering Process Control,,
CHME4990,Elective,,
CHME5699,Special Topics in Chemical Engineering,,
CHNS1502,REMOVED,,
CHNS1990,Elective,,
CHNS2990,Elective,,
CHNS3102,Advanced Chinese 2,,
CHNS3990,Elective,,
CHNS4101,REMOVED,,
CHNS4102,REMOVED,,
CHNS4990,Elective,,
CINE1990,Elective,,
CINE2394,REMOVED,,
CINE3389,REMOVED,,
CINE3920,REMOVED,,
CIVE2260/CIVE2261,Materials for the Built Environment,,
CIVE2300/CIVE2301,Environmental Measurements in Natural and Engineered Systems,,
CIVE2331,Fluid Mechanics and Hydraulics,,
CIVE2340/CIVE2341,Geotechnical Engineering,,
CIVE3425,Steel Structure Design,,
CIVE3990,Elective,,
CIVE4542,Foundation Engineering and Design,,
CIVE4575,Contstruction Managment,,
CIVE4990,Elective,,
CIVE5221,Construction Project Control and Organization,,
CIVE5275,"Life Cycle Assessment of Materials, Products, and Infrastructure",,
CIVE5522,Structural Systems Modeling,,
CIVE5536,Hydrologic and Hydraulic Design,,
