University ID,Host Course Number,Host Course Name,Host Course Description,NU Course Number,Term,Credits,Taken
001,Architecture_Foundations_Stud,Architecture Foundations Studio,NA,ARCH1990,NA,3,0
001,Detailing_and_Sustainability_i,Detailing and Sustainability in Scandinavian Architecture,NA,ARCH1990,NA,3,0
001,New_Nordic_Design,New Nordic Design,NA,ARCH1990,NA,3,0
001,Place-Based_Sustainable_Buildi,Place-based Sustainable Building,NA,ARCH1990,NA,3,0
001,Urban_Exploration_Photography_,Urban Exploration Photography Workshop,NA,ARCH1990,NA,3,0
001,Watercolor_Painting,Watercolor Painting,NA,ARCH1990,NA,3,0
001,Adaptive_Re-use_in_Europe_Buil,Adaptive Re-use in Europe: Buildings and Cities,NA,ARCH2990,NA,3,0
001,1902403,Sustainable by Design,NA,ARCH2990,NA,3,0
001,1902465,Urban Design Foundations Studio,NA,ARCH2990,NA,3,0
001,Art_In_The_Making,Art in The Making,NA,ARTH1990,NA,3,0
001,European_Art_of_the_19th_Centu,European Art of the 19th Century: From Classicism to Symbolism,NA,ARTH1990,NA,3,0
001,"Women,_Art,_Identity","Women, Art, Identity",NA,ARTH1990,NA,3,0
001,Curating_Europe,Curating in Europe,NA,ARTH2990,NA,3,0
001,Medical_Biotechnology_and_Drug,Medical Biotechnology and Drug Development,NA,BIOE4990,NA,3,0
001,Gut_Reaction:_How_Human_Microb,Gut Reaction: How Human Microbes Shape Our Lives,NA,BIOL2990,NA,3,0
001,Epigenetics_and_the_Impact_on_,Epigenetics and the Impact on Health and Disease,NA,BIOL3990,NA,3,0
001,Sustainable_Business_Strategy,Sustainable Business Strategy,NA,BUSN2990,NA,3,0
001,Business_Leadership:_Navigatin,Business Leadership: Navigating Ethical Dilemmas,NA,BUSN3990,NA,3,0
001,European_business_strategy,European Business Strategy: Case Studies,NA,BUSN3990,NA,3,0
001,Nordic_Culinary_Culture,Nordic Culinary Culture,NA,CLTR2990,NA,3,0
001,Guilty_Pleasures_of_Pop_Cultur,Guilty Pleasures of Pop Culture,NA,COMM1990,NA,3,0
001,Strategic_Communication,Strategic Communication,NA,COMM2990,NA,3,0
001,Virtual_Worlds_and_Social_Medi,Virtual Worlds and Social Media,NA,COMM2990,NA,3,0
001,Prisons_in_the_Nordic_Countrie,Prisons in the Nordic Countries,NA,CRIM2990,NA,3,0
001,Economics_of_Crime,Economics of Crime,NA,CRIM3990,NA,3,0
001,Development_and_Programming_of,Development and Programming of Serious Games,NA,CS 4990,NA,3,0
001,Globalization_and_European_Eco,Globalization and European Economies,NA,ECON3990,NA,3,0
001,Children_With_Special_Needs,Children With Special Needs,NA,EDUC1990,NA,3,0
001,Social_Change_and_Active_Citiz,Social Change and Active Citizenship,NA,EDUC1990,NA,3,0
001,Climate_Change_of_Arctic_Ecosy,Climate Change of Arctic Ecosystems Lab,NA,EEMB2990,NA,3,0
001,European_Biodiversity,European Biodiversity,NA,EEMB2990,NA,3,0
001,Arctic_Ecology,Arctic Ecology,NA,EEMB3990,NA,3,0
001,Polar_Biology,Polar Biology,NA,EEMB4990,NA,3,0
001,Storytelling_Workshop,Storytelling workshop,NA,ENGL1990,NA,3,0
001,Innovation_&_Entrepreneurship,Innovation & Entrepreneurship in Europe,NA,ENTR2990,NA,3,0
001,Social_Entrepreneuship,Social Entrepreneurship,NA,ENTR2990,NA,3,0
001,Innovation_and_Entrepreneurshi,Innovation and Entrepreneurship in Europe,NA,ENTR3990,NA,3,0
001,Sustainable_Denmark:_Solutions,Sustainable Denmark: Solutions and Dilemmas,NA,ENVR3990,NA,3,0
001,Sustainable_Food:_Production_a,Sustainable Food: Production and Consumption,NA,ENVR3990,NA,3,0
001,Ice_Cores_and_Ice_Ages,Ice Cores and Ice Ages,NA,ENVR4990,NA,3,0
001,"Art,_Nature,_and_Climate_Chang","Art, Nature, and Climate Change",NA,ENVS3990,NA,3,0
001,Environmenal_Impact_of_Humans,Environmental Impact of Humans,NA,ENVS3990,NA,3,0
001,1804540,Integrated Climate Change Planning,NA,ENVS3990,NA,3,0
001,Sustainable_Finance:_The_Futur,Sustainable Finance: The Future of Investment,NA,FINA2990,NA,3,0
001,Conspiracy_Theories_and_Histo,Conspiracy Theories and Historical Controversies,NA,HIST1990,NA,3,0
001,The_Day_After_Rewriting_the_Hi,"The Day After: Rewriting the History of WW2, 1945-1950",NA,HIST1990,NA,3,0
